name,description,categories,ingredients,steps
Fragrant Casserole,A fresh and easy-to-make dish perfect for any day.,Dinner; Gluten-free,pasta: 1 piece; beef: 200g; pasta: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Spicy Casserole,A quick and easy-to-make dish perfect for any day.,Vegetarian; Gluten-free,spinach: 200g; pork: 2 tbsp; pork: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Creamy Omelet,A spicy and easy-to-make dish perfect for any day.,Gluten-free; High-protein,pork: 2 tbsp; cheese: 1 tbsp; tomato: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Hearty Casserole,A simple and easy-to-make dish perfect for any day.,Vegetarian; Dessert; Lunch,chicken: 2 tbsp; salmon: 100g; garlic: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Quick Omelet,A zesty and easy-to-make dish perfect for any day.,Gluten-free; Dinner; Dessert,carrot: 100g; cheese: 100g; spinach: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Wrap,A zesty and easy-to-make dish perfect for any day.,Vegetarian; Lunch,pepper: 100g; salmon: 200g; potato: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Hearty Gratin,A zesty and easy-to-make dish perfect for any day.,Dinner; Lunch; Vegetarian,onion: 2 pieces; beans: 1 cup; beef: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Creamy Stir-fry,A spicy and easy-to-make dish perfect for any day.,Vegan,potato: 200g; chicken: 2 pieces; chicken: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Quick Gratin,A comforting and easy-to-make dish perfect for any day.,Dessert; Snack; Vegetarian,salmon: 1 cup; salmon: 200g; tomato: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Spicy Omelet,A fragrant and easy-to-make dish perfect for any day.,Gluten-free; Lunch; Dinner,pork: 100g; pork: 1 piece; spinach: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Savory Stew,A fragrant and easy-to-make dish perfect for any day.,Low-carb; Dessert,salmon: 2 pieces; potato: 1 tbsp; beef: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
